"Sl No",Asset Id,Asset Name,"Start Chainage","End Chainage","Length (Km)",District
1007,PW05010201016350,Eastern Approach road of Aerodrome,0,0.65,0.65,Kollam
1008,PW05010203016316,Loop road from KV road to QS oad,0,0.2,0.2,Kollam
1009,PW05010203016317,Valakom Mulliyil Panaveli road,0,4.46,4.46,Kollam
1010,PW05010203016318,Perumkulam Kalayapuram road,0,7.9,7.9,Kollam
1011,PW05010203016319,"Patterimukku Ambalakkara PaingayilRoad",0,5.5,5.5,Kollam
1012,PW05010203016335,"Puthoor Atuvasery road Vendar WLPS(via) Kanjiramvila",0,5.2,5.2,Kollam
1013,PW05010203016336,Kottathala Market Jn Inchakkadu road,0,5,5,Kollam
1014,PW05010203016337,Mylom Kura Kizhakketheruvu road,0,3.5,3.5,Kollam
1015,PW05010203016338,MC Road to Tazhuthu kulakkada road,0,2.5,2.5,Kollam
1016,PW05010203016339,Pulikuzhi Irukunnam road,0,3.5,3.5,Kollam
1017,PW05010203016340,Vandipura Kambamkodu road,0,3.2,3.2,Kollam
1018,PW05010203016346,"32nd Mile MC Road ChengamanaduKadakkal road",0,0.75,0.75,Kollam
1019,PW05010203016347,Chirattakonam Panaveli Road,0,1.65,1.65,Kollam
1020,PW05010203016348,Sadanandapuram Vettikkavala Road,0,3.2,3.2,Kollam
1021,PW05010203016349,Chengamanadu Kadakkal Road,0,8,8,Kollam
1022,PW05010203016350,Vettikkavala Chakkuvarakkal road,0,6,6,Kollam
1023,PW05010203016351,"33/200 of QS road VettikkavalaChakkuvarakkal road",0,1.15,1.15,Kollam
1024,PW05010203016352,Kunnikkodu Kottavattom Road,0,5.5,5.5,Kollam
1025,PW05010203016353,Thalachira Venchempu road,0,5.5,5.5,Kollam
1026,PW05010203016354,"Kizhakketheruvu PallimukkuVettikkavala road",0,2.68,2.68,Kollam
1027,PW05010203016355,"Chirattakkonam Melila bridgeKurisinmoodu chapath Jn Kunnikkodu",0,8,8,Kollam
1028,PW05010203016356,"Ettivila Altharamugal Ambalathum vilaroad",0,3,3,Kollam
1029,PW05010203016341,"Chengamanad Marthoma churchChangode Vettikkavala road",0,1.55,1.55,Kollam
1030,PW05010203016342,"International study centre road MCRoad",0,1.33,1.33,Kollam
1031,PW05010203016343,Bye road Chakkuvarakkal road,0,1.6,1.6,Kollam
1032,PW05010203016344,Kadambra Narikkuzhi Viloor road,0,3.2,3.2,Kollam
1033,PW05010203016345,"Panaveli Jn Kathankal Salvation ArmyPalli Patteri factory road",0,2,2,Kollam
1034,PW05010202016304,Chemmanthoor Thadikadu Road,0,7.5,7.5,Kollam
1035,PW05010202016305,Kokkadu Venchembu Road,0,3,3,Kollam
1036,PW05010202016306,Adukkalamoola Venchembu Road,0,3.03,3.03,Kollam
1037,PW05010202016307,Karavaloor Venchembu Road,0,2.56,2.56,Kollam
1038,PW05010202016308,Punalur Market Road,0,0.27,0.27,Kollam
1039,PW05010202016309,Punalur Sathram Road,0,0.44,0.44,Kollam
1040,PW05010202016310,Punalur Town Temple Road,0,1.2,1.2,Kollam
1041,PW05010202016311,Punalur Nedumkayam Road,0,2.24,2.24,Kollam
1042,PW05010204016354,Sree Vardhanapuram Market Road,0,2.91,2.91,Kollam
1043,PW05010204016355,Vellanathuruth Azheekkal Road,0,14.56,14.56,Kollam
1044,PW05010202016331,Punalur Paper Mill Panampatta Road,0,4,4,Kollam
1045,PW05010202016312,Nellipally Neithumukku Road,0,1.6,1.6,Kollam
1046,PW05010201016372,Pullikada road,0,0.07,0.07,Kollam
1047,PW05010201016373,Kollam Ayoor road,0,8.99,8.99,Kollam
1048,PW05010202016313,Punalur Schaliyakkara Road,0,7.7,7.7,Kollam
1049,PW05010202016314,Yerror Edamon Road,13,14.44,1.44,Kollam
1050,PW05010202016315,Edamon Railway Station Road,0,0.6,0.6,Kollam
1051,PW05010202016316,Ettapadappu Road,0,4.5,4.5,Kollam
1052,PW05010202016317,Kalthuruthi Coffee Estate Road,0,8,8,Kollam
1053,PW05010201026337,"cherikkadavu Mantrothuruth Railwaystation Road",0,4.5,4.5,Kollam
1054,PW05010202016318,Anachadi Estate Road,0,1.6,1.6,Kollam
1055,PW05010202016319,Palaruvi Road,0,4.05,4.05,Kollam
1056,PW05010202016320,Mekkara Achencovil Road,8.3,21.3,13,Kollam
1057,PW05010202016321,Vettipuzha Kuthirachra MLA Road,0,1.2,1.2,Kollam
1058,PW05010202016322,"Link Road -Adoor Punalur And KollamSchenkotta Road",0,1.68,1.68,Kollam
1059,PW05010202016323,Karavaloor Puthuthadam Manalil Road,0,3.6,3.6,Kollam
1060,PW05010202016324,Punalur Kakkodu Chemkulam Road,0,4,4,Kollam
1061,PW05010202016325,"Nellipallymukku KallramukkuMarthoma Chruch Road",0,2.6,2.6,Kollam
1062,PW05010202016326,Tholikodu Maniyar Erichikkal Manalil,0,6,6,Kollam
1063,PW05010202016327,Elampal Thadikkad Road,0,7.2,7.2,Kollam
1064,PW05010202016328,"Punalur TB Jun Vattapada EdamonSathram Road",0,8,8,Kollam
1065,PW05010202016329,Karya - Kanjiramala - Papermill road,0,2.5,2.5,Kollam
1066,PW05010202016330,Thenmala Pathekkar road,0,1.45,1.45,Kollam
1067,PW05010202026311,Polikkodu-Thadikkadu Road,0,4.2,4.2,Kollam
1068,PW05010202026312,Marangattukonam-Thadikkadu Road,0,3.28,3.28,Kollam
1069,PW05010202026313,Agastiakodu Komalam Vadaman-Eram,0,4.5,4.5,Kollam
1070,PW05010202026314,Schentharuni Estate Road,0,8.05,8.05,Kollam
1071,PW05010202026315,"Podiyattuvila-punnakkad-kaithaketturoad",0,5,5,Kollam
1072,PW05010202026316,Vilakkupara-Thadikkadu Road,0,16.85,16.85,Kollam
1073,PW05010202026317,Yeroor -Edamon road,0,13,13,Kollam
1074,PW05010202026318,Ayirakkuzhi-Anchal Road,9.5,11,1.5,Kollam
1075,PW05010202026319,Thadikkadu-Venchembu road,0,3,3,Kollam
1076,PW05010202026320,Kulathurpuzha-Samnagar road,0,5,5,Kollam
1077,PW05010202026321,"Punaloor Tholikkode - Maniyar -Earichikkal - Archal-Nettayattukonam(Archal-",6,7.6,1.6,Kollam
1078,PW05010202026323,Agasthyacodu-Alenchery Road,0,2.05,2.05,Kollam
1079,PW05010202026324,Kuruvikkonam-Bharatheepuram Road,0,9.02,9.02,Kollam
1080,PW05010202026325,Heriford Estate Road,0,9.56,9.56,Kollam
1081,PW05010202026326,Anchal-Kadavaram road,0,3,3,Kollam
1082,PW05010202026327,"Thadikkadu -Anchal market Junction-Thazhamel-sabarigiri School-Agasthyacodu Alanchery road",0,6.7,6.7,Kollam
1083,PW05010203016357,"Anthaman Pattazhy road ch 0/000 to4/540",0,4.54,4.54,Kollam
1084,PW05010202036334,"Kavilkadavu - kamucumcherry approchroad",0,1.3,1.3,Kollam
1085,PW05010202036335,Avaneeswaram-Kuttikkonam,0,4,4,Kollam
1086,PW05010202036336,"Kunnikkodu-Kura-Govindamangalam-college jn road",0,8.3,8.3,Kollam
1087,PW05010202036337,"Nedumparambu--Thekkekkara-Edathara Arabic College Road",0,5.7,5.7,Kollam
1088,PW05010204036310,Padanayarkulangara - Sasthamcotta,4.2,9.6,5.4,Kollam
1089,PW05010204036311,Sasthamcotta - Pattakadavu,0,4.8,4.8,Kollam
1090,PW05010204036402,Chakkulam - Vilanthara,0,2,2,Kollam
1091,PW05010204036312,Kottarakkara - Sasthamcotta,12.4,17.3,4.9,Kollam
1092,PW05010204036314,Mynagappally - Thevalakkara,0,3.6,3.6,Kollam
1093,PW05010204036313,Kallukadavu - Thoppil Mukku,0,6.8,6.8,Kollam
1094,PW05010204036316,Karalimukku - Valanja Varampu,0,2.75,2.75,Kollam
1095,PW05010204036317,Kadapuzha - Valanja Varampu,0,4.1,4.1,Kollam
1096,PW05010204036315,Karalimukku - Kadapuzha,0,5.1,5.1,Kollam
1097,PW05010202026306,Valakom-Podiyattuvila Road,0,3,3,Kollam
1098,PW05010201036323,Baharine Jn- NH to Karamcodu road,0,2.62,2.62,Kollam
1099,PW05010204026314,NALUVILA-PAVUMBA,0,2,2,Kollam
1100,PW05010202026302,Alencherry - Onthupacha Road,0,18.62,18.62,Kollam
1101,PW05010202026307,Channappetta-Oil palm Road,0,2.8,2.8,Kollam
1102,PW05010202026308,Yeroor-Panayam -Alenchery road,0,4.8,4.8,Kollam
1103,PW05010202026303,Madurappa-vayakkal Road,0,4.94,4.94,Kollam
1104,PW05010201016313,Ayathil- Pallimukku,0,2.27,2.27,Kollam
1105,PW05010201016318,Eurpean Club Road,0,0.33,0.33,Kollam
1106,PW05010201016363,Fish market and Cross roads,0,0.58,0.58,Kollam
1107,PW05010201016357,North Thamarakkulam,0,0.6,0.6,Kollam
1108,PW05010201016359,Paikkada Road,0,0.77,0.77,Kollam
1109,PW05010201016358,Manjadi Mukku Road,0,0.54,0.54,Kollam
1110,PW05010201016360,South Thamarakkulam Road,0,1.1,1.1,Kollam
1111,PW05010201016365,Big Bridge Iron Bridge,0,0.69,0.69,Kollam
1112,PW05010201016364,Thevally Road,0,0.59,0.59,Kollam
1113,PW05010201016361,Rama Varma Club Road,0,0.27,0.27,Kollam
1114,PW05010201016341,Old NH (three bit road),0,1.6,1.6,Kollam
1115,PW05010201016362,Anchalummoodu Prakkulam,0,4.4,4.4,Kollam
1116,PW05010201016366,Aravila jetty road,0,1.5,1.5,Kollam
1117,PW05010201016368,Thirumullavaram road,0,1.88,1.88,Kollam
1118,PW05010201016369,Nellimukku Kureepuzha road,0,1.8,1.8,Kollam
1119,PW05010201016370,Anjili road,0,0.51,0.51,Kollam
1120,PW05010201016371,Muttathu moola road,0,1.71,1.71,Kollam
1121,PW05010201016343,Mulluvila Umayanalloor,0,4.42,4.42,Kollam
1122,PW05010201016342,Lekshmi Nada Thankasseri,0,1.41,1.41,Kollam
1123,PW05010201016344,Mulakkada Vadi road,0,0.81,0.81,Kollam
1124,PW05010201016356,Branch road to Kadappakkada,0,0.26,0.26,Kollam
1125,PW05010201016367,Thomas Stephen Co. road,0,1.68,1.68,Kollam
1126,PW05010201016345,Riffle Butt road,0,0.84,0.84,Kollam
1127,PW05010201016346,Small Bridge to Big Bridge road,0,1.55,1.55,Kollam
1128,PW05010201016348,DSP Office -H&C road,0,0.7,0.7,Kollam
1129,PW05010201016349,Small Bridge to H&C,0,0.71,0.71,Kollam
1130,PW05010201016347,QAC Road,0,0.39,0.39,Kollam
1131,PW05010201016351,Division Cutchery Vaadi road,0,1.5,1.5,Kollam
1132,PW05010201016352,Govt House to Kadappakkada,0,2.1,2.1,Kollam
1133,PW05010201016353,Kadappakkada TQ road,0,1.5,1.5,Kollam
1134,PW05010404016305,"Karuvalil - Kannattumudi Road(Eravankara Riots)",0,2.628,2.628,Kollam
1135,PW424630008,Kodanadu Bridge Approach Road,0,0.65,0.65,Kollam
1136,PW424630009,Vazahyila Pallimukku Road,0,2,2,Kollam
1137,PW424630010,"Old Ettumanoor -Poonjar Road-Erattupetta-Kaduvamuzhi",0,0.21,0.21,Kollam
1138,PW424630011,"Old Ettumanoor- Poonjar Road-Marygiri Junction - Bharanganam",0,0.12,0.12,Kollam
1139,PW424630012,"Old Ettumanoor-Poonjar Road-Melambara",0,0.3,0.3,Kollam
1140,PW05010301026340,Kurishinmoodu-Kottipillethu road,0,7.2,7.2,Kollam
1141,PW424630013,Aylara - Ernoorkarikkam - Manalil road,0,5.1,5.1,Kollam
1142,PW05010301026323,"Konni - SCR Station Medical CollegePhase -1 Road",0,4.7,4.7,Kollam
1143,PW424630014,"Link road connecting Pala KurishupallyJunction to River View Road",0,0.07,0.07,Kollam
1144,PW424630015,"Kalkoonthal Mavady KailassamMullarikudy Road",0,12.6,12.6,Kollam
1145,PW424630007,"Panachamoodu PanchamkuzhiMullaluvila",0,4,4,Kollam
1146,PW424630006,Kuthirakulam - Vellanad,0,9,9,Kollam
1147,PW05030203026330,Peringavu - Kottupadam Road,0,0.7,0.7,Kollam
1148,PW424630002,"Sulthan Bathery -Karakandi-Valluvady-Odappallam Road",1.8,12.5,10.7,Kollam
1149,PW424630005,Malayinkeezhu- Manjadi road,0,2,2,Kollam
1150,PW05010303016321,"Kadayar - Puthen SabarimalaPuthezham",0,2.6,2.6,Kollam
1151,PW05030203026338,Chirayil chungam - Kottasseri road,0,3.4,3.4,Kollam
1152,PW424630004,Puliyarakonam - Erayankode road,0,2,2,Kollam
1153,PW424630003,Chinnakanal Bodimettu via Suryanalli,0,15.3,15.3,Kollam
1154,PW05030203026308,"Mangattumuri-Cherumuttam-Valiyaparamba road",0,3.33,3.33,Kollam
1155,PW424630001,Maruthenkuzhy PTP,0,1,1,Kollam
1156,PW05010304016301,Changanassery-Kaviyoor,6.7,13.28,6.58,PTA
1157,PW05010301016301,"Mylapra-Panchayathupadi-Mekkozhur-Edakkara road ch:0/000-2/500",0,2.5,2.5,PTA
1158,PW05010302026301,Mammoodu - Chandanappally Road,0,2.5,2.5,PTA
1159,PW05010304016302,Austin Road,0,3.4,3.4,PTA
1160,PW05010302016301,Kadakkad-Kaipattor,0,6.4,6.4,PTA
1161,PW05010303016304,Chethekkal - Koothattukulam,0,9.26,9.26,PTA
1162,PW05010301016304,"Elimukku-Karithotta-kuriyanippallyroad",0,2.46,2.46,PTA
1163,PW05010304026301,Thundiyilkkadavu-Ezhumattoor Road,2,8.28,6.28,PTA
1164,PW05010304016335,Thiruvalla-MallappallyRoad,5,14.16,9.16,PTA
1165,PW05010304016304,Poovanakadavu-Cherukolpuzha Road,0,5,5,PTA
1166,PW05010305016305,Thiruvalla - Mallappally,0,5,5,PTA
1167,PW05010305016319,Kavumbhagam - Idinjillam road,0,5,5,PTA
1168,PW05010305016306,Swamipalam - Mepral,0,2.71,2.71,PTA
1169,PW05010305016320,"78th Mile MC Road to 2nd mile TKRoad",0,3.06,3.06,PTA
1170,PW05010305016318,Kavumbhagam - Muthoor road,0,3.84,3.84,PTA
1171,PW05010305026301,Kumbanadu- Cherukolpuzha road,0,6,6,PTA
1172,PW05010305026303,Kuriyannoor-Maramon road,0,4.09,4.09,PTA
1173,PW05010304026302,Pullolil-Valavodikavu,2.4,4.8,2.4,PTA
1174,PW05010301036302,Thumpamon- Kozhencherry,8,13.5,5.5,PTA
1175,PW05010301026302,PRAMADOM - VALAMCHUZHI ROAD,0,8,8,PTA
1176,PW05010302026346,"Elamannoor-Kalanjoor (viaBhoothamkara)",0,5.6,5.6,PTA
1177,PW05010302026345,Holy cross -Anandappally Road,0,3.9,3.9,PTA
1178,PW05010304016336,Poovanalkadavu-Chelakkombu,0,5.3,5.3,PTA
1179,PW05010304016338,Njalikkandam-Kadamankulam,0,3.67,3.67,PTA
1180,PW05010304016337,"Kunnamthanam-Ambalappady-Plachirappady-Palakkathakidyy",0,5,5,PTA
1181,PW05010304016339,Murani-Sasthamkoikal road,0,5.3,5.3,PTA
1182,PW05010302016306,Adoor- Thumpamon,3,10.3,7.3,PTA
1183,PW05010302026322,Athirumkal- Punnamoodu Road,0,3.65,3.65,PTA
1184,PW05010302026341,"Pannivizha-Parakodu-TheppuparaRoad",0,6.15,6.15,PTA
1185,PW05010302026342,Adoor-Pattazhy Road,0,6.15,6.15,PTA
1186,PW05010302026343,Adoor Anandappally Road,0,2.22,2.22,PTA
1187,PW05010304016340,"Cross Junction-Thundiyamkulam-Paduthodu-Kavupuram-MallappallyKaruthavadasserry kadavu-",0,9.4,9.4,PTA
1188,PW05010301016306,KUMBAZHA-MALAYALAPUZHA ROAD,0,4,4,PTA
1189,PW05010304016303,moosarikavala-Manthanam-Mukkoor,0,8.3,8.3,PTA
1190,PW05010203026340,"Payyakkodu - Aduthalakadavu viapulimukku road ch : 0/000 to 4/000.",0,4,4,PTA
1191,PW05010302026330,"Mankoottam -Kaithapparambu-Singaporemukku Road",0,4,4,PTA
1192,PW05010302026329,Kalamala-Mankoottom Road,0,4.5,4.5,PTA
1193,PW05010302026328,Parakodu-Iverkala Road,0,3.5,3.5,PTA
1194,PW05010302026327,Edavummoodu-Kochalumoodu Road,0,2.8,2.8,PTA
1195,PW05010302026323,Ezhamkulam-Kaippattoor Road,0,10.6,10.6,PTA
1196,PW05010302026326,Koodal-Rajagiri Road,0,8.16,8.16,PTA
1197,PW05010302026317,Parakodu-Kodumon Road,0,3.9,3.9,PTA
1198,PW05010302026316,Mangadu-Chayalodu-Puthuval Road,0,10.2,10.2,PTA
1199,PW05010302026334,Padam-SNDP Road,0,2,2,PTA
1200,PW05010302026319,Anadappally -Kaippattoor Road,0,7.5,7.5,PTA
1201,PW05010302026325,Murinjakal-Athirunkal Road,0,3.6,3.6,PTA
1202,PW05010302026324,Padam-Vellamthetty Road,0,2.6,2.6,PTA
1203,PW05010302026315,Elamannoor-Kalanjooor-Padam Road,0,12.4,12.4,PTA
1204,PW05010302026318,"Thadathil-Manakkala including linkRoad",0,3.84,3.84,PTA
1205,PW05010302026313,Adoor-Paruthippara Road,0,1.74,1.74,PTA
1206,PW05010302026333,Palamattom-Changethara Road,0,3.8,3.8,PTA
1207,PW05010302026331,Thirumangadu-Maloor College Road,0,1.3,1.3,PTA
1208,PW05010302026320,Erathu-Vayala Road,0,2.52,2.52,PTA
1209,PW05010302026321,Karuvatta -Thatta Road,0,2.1,2.1,PTA
1210,PW05010302026332,Approach Road to Public office Road,0,1.4,1.4,PTA
1211,PW05010301016307,Kadakkad - Kaipattur Road,6.4,9.2,2.8,PTA
1212,PW05010301016308,Kannamkara - Kallarakkadavu road,0,0.8,0.8,PTA
1213,PW05010301016309,Valamchuzhy - Nachiraveliladavu Road,0,0.8,0.8,PTA
1214,PW05010301016310,"Approach road to KallarakkadavuBridge",0,0.44,0.44,PTA
1215,PW05010301016356,Kidangannur - Elavumthitta road,0,5.8,5.8,PTA
1216,PW05010301016311,"4/8 mile Pandalam - Aranmula toMezhuveli road",0,1.2,1.2,PTA
1217,PW05010301016312,Elanthur - Kuzhikkala road,0,1.7,1.7,PTA
1218,PW05010301016313,Kuzhikkala - Mezhuveli road,0,1.6,1.6,PTA
1219,PW05010301016317,"Thumpamon-Pariyaram road ch:6/000-8/000",6,8,2,PTA
1220,PW05010301016321,"Thumpamon-Kozhenchery roadch:1/200-8/000",1.2,8,6.8,PTA
1221,PW05010301016319,"Cheekkanal-Oonnukal road ch:0/000-3/000",0,3,3,PTA
1222,PW05010301016322,"Oonnukal-karanchery-Vettathethupadi-NSS Karayogam junction-Mathoor-Govt.ITI road ch:0/000-11/650",0,11.65,11.65,PTA
1223,PW05010301016323,PTA-Mylapra road,0,2.9,2.9,PTA
1224,PW05010301016324,"Muttukudukka-Illathupadi roadch:0/000-3/500",0,3.5,3.5,PTA
1225,PW05010301016320,"Prakkanam-Niravelpadi-areekkalpadiroad ch:0/000-2/700",0,2.7,2.7,PTA
1226,PW05010304016330,Thottabhagom-Mallappally,0,7.84,7.84,PTA
1227,PW05010304016331,Attakkulam-Vaipur,0,5.4,5.4,PTA
1228,PW05010304016328,Bishop AC Road,0,3.5,3.5,PTA
1229,PW05010304016332,"Hospitalppady-Marickal-Kochuparampu Road",0,4,4,PTA
1230,PW05010304016333,"Kallooppara-Nadamala-Nellimoodu-Vazheparambil-Valakkuzhyppady Road",0,6.5,6.5,PTA
1231,PW05010304016334,Kannaplavu-Kulathoormoozhy Road,0,5.38,5.38,PTA
1232,PW05010301036303,Mannarakulanji - Kozhencherry Road,4,15.7,11.7,PTA
1233,PW05010301036305,Thumpamon - Pariyaram Road,8,9.13,1.13,PTA
1234,PW05010301036306,Pandalam -Aranmula Road,6.8,11.24,4.44,PTA
1235,PW05010301036307,Manthuka - Kotta Road,0,4.61,4.61,PTA
1236,PW05010301036309,Puthamon -Antyalankavu Road,0,5.55,5.55,PTA
1237,PW05010301036310,Nellikala - Naranganam Road,0,4.02,4.02,PTA
1238,PW05010301036311,Vettipuram - Thonniyamala Road,4,6.74,2.74,PTA
1239,PW05010301026303,Kalleli-oottupara road,0,3.24,3.24,PTA
1240,PW05010304016305,Moosarikkavala-Komalam Road,0,5.59,5.59,PTA
1241,PW05010301026305,Athirumkal-Kulathumon-Kalleli Road,0,9,9,PTA
1242,PW05010304026308,TMV road,0,1.75,1.75,PTA
1243,PW05010304016317,pathickadu-kavalimavu road,0,3.81,3.81,PTA
1244,PW05010304016318,pullukuthy-neelampara,0,5,5,PTA
1245,PW05010304026322,"Puramattom - Karuthavadasserikadavuroad",0,1.4,1.4,PTA
1246,PW05010304016323,"puthenveetil pady-valakkuzhypady(town link road)",0,0.45,0.45,PTA
1247,PW05010301026316,"Kanjirappara-Kizhakkupuram-Vadakkupuram-Vettoor road",0,8.3,8.3,PTA
1248,PW05010304016324,Tiruvalla-mallappally 3rd section road,0,3.05,3.05,PTA
1249,PW05010301026306,Oottupara-Michabhoomi colony road,0,4,4,PTA
1250,PW05010304016319,Aproach road to kaviyoor temple,0,0.63,0.63,PTA
1251,PW05010301026307,Chandanappalli-Konni road,0,12.2,12.2,PTA
1252,PW05010301026308,Konni-Kalleli road,0,6.12,6.12,PTA
1253,PW05010302026312,"Enadimangalam-Puthenchanda-Theppupara Road",0,5,5,PTA
1254,PW05010301016345,"Omalloor-Market junction roadch:0/000-1/000",0,1,1,PTA
1255,PW05010301016342,"Nariyapuram-Valavoorkkavu roadch:0/000-1/900",0,1.9,1.9,PTA
1256,PW05010302026336,Adoor Civil Station Road.,0,1,1,PTA
1257,PW05010301026309,V-Kottayam - Mallasseri road,0,4.4,4.4,PTA
1258,PW05010304016325,"chengaroorchira mukkoornedugadapally road",0,6.15,6.15,PTA
1259,PW05010303016309,Poovanakadavu - Cherukolpuzha,15,20,5,PTA
1260,PW05010304016326,"Ezhumattoor-vazhakkala perumparasasthamkoikal Road",0,3.8,3.8,PTA
1261,PW05010301026310,Kumbazha-Konni- via Vettoor,0.95,6.2,5.25,PTA
1262,PW05010304016327,kadamankulam-chegaroor road,0,2.98,2.98,PTA
1263,PW05010303016308,"Athikayam - Kakkudumon -Mandamaruthy Ch.0/000-6/000",0,6,6,PTA
1264,PW05010301026314,"Konni- Chankoor Athumpumkulamroad",0,4.65,4.65,PTA
1265,PW05010302026338,Kanjickal - Kulavayal Road,0,1.4,1.4,PTA
1266,PW05010301026317,"MANNARAKULANJI - PUTHUKULAMROAD",0,7.2,7.2,PTA
1267,PW05010301026311,"Athumpumkulam - Thannithodu road (II Reach)",0,10.35,10.35,PTA
1268,PW05010304016320,Kunnathanam -Kaviyoor road,0,4.17,4.17,PTA
1269,PW05010304016321,"karuthavadasserrikadavu-puthusserryRoad",0,3.4,3.4,PTA
1270,PW05010301026315,KAIPATTUR - VALLIKODU ROAD,0,3.4,3.4,PTA
1271,PW05010304026317,Kumbanad - Kallooppara road,0,4.68,4.68,PTA
1272,PW05010302026310,Enathu Old MC Road and Link Road.,0,1.8,1.8,PTA
1273,PW05010304016322,"kochuparambu- kothaplakkappadi-tavalappara-kavalimavu-",0,3,3,PTA
1274,PW05010304016306,"kannamplavu kuluthoormuzhi BranchRoad",0,1,1,PTA
1275,PW05010303016307,"Athikkayam- Madathamon-Chempanoli - Vechoochira",0,5.78,5.78,PTA
1276,PW05010304016307,kollamalapady-menamoottilpady,0,3.45,3.45,PTA
1277,PW05010304016308,Kunnamthanam-Kaniyampara Road,0,3.87,3.87,PTA
1278,PW05010304016309,komalam -puthusserry,0,2.55,2.55,PTA
1279,PW05010301026318,VAKAYAR - ATHIRUMKAL ROAD,0,4.2,4.2,PTA
1280,PW05010301026313,Pramadom-Poonkavu road,0,2.72,2.72,PTA
1281,PW05010304016310,"kulangarakavu-kshetrappadi -pekkavu-Anappara-methanam-chalappally road",0,3,3,PTA
1282,PW05010301026324,THANNITHODU - CHITTAR ROAD,0,5.97,5.97,PTA
1283,PW05010304026312,Poovanalkadavu - Cherukolpuzha road,5,15,10,PTA
1284,PW05010304016311,manakkachira-kizhakkenmuthoor Road,0,4.54,4.54,PTA
1285,PW05010304026313,Ranni Branch road,0,2,2,PTA
1286,PW05010304016312,Nedumkunnam-kavanarkadavu Road,2.86,6.79,3.94,PTA
1287,PW05010304016313,"Muttathumavu-AttakulamPattapurayidom Aramattom Road",0,6,6,PTA
1288,PW05010304026314,Bastow road 2nd section,0,9.68,9.68,PTA
1289,PW05010304016314,"Plavunkalpady-Pandyalackalpady(K-Kroad to P C road)",0,1.05,1.05,PTA
1290,PW05010304026316,Kumbalanthanam - Ranni road,0,3.04,3.04,PTA
1291,PW05010305016311,Thondara - Eradichira Road,0,4,4,PTA
1292,PW05010301026312,"KONNI - SANCHAYATHU KADAVUROAD",0,1.95,1.95,PTA
1293,PW05010301026322,VAKAYAR - VALLIKKODE ROAD,0,8.7,8.7,PTA
1294,PW05010301026321,KUMBAZHA - MALLASSERY ROAD,0,2,2,PTA
1295,PW05010301026320,ANAKUTHY - KUMMANNOOR ROAD,0,2.5,2.5,PTA
1296,PW05010303026308,Perunadu - Perumthenaruvi,0,10.8,10.8,PTA
1297,PW05010301026319,Pramadom-Konni-Via-Lakkor Road,0,6.6,6.6,PTA
1298,PW05010303026309,Vadasserikkara - Chittar,0,18.9,18.9,PTA
1299,PW05010303026312,Perunadu - Kannanumon - Puthukada,0,6.2,6.2,PTA
1300,PW05010301026326,PRAMADOM - MARROR ROAD,0,1.36,1.36,PTA
1301,PW05010303026311,Aliyanmukku - Kochukoickal,0,4.5,4.5,PTA
1302,PW05010301026325,PAYYANAMON - KUPPAKARA ROAD,0,1.7,1.7,PTA
1303,PW05010303026306,kochukoickal - Seethathodu Road,0,5,5,PTA
1304,PW05010301026331,"VATTAKAVU - VELLAPARA -NJAKKAVU JOLLY JUNCTION",0,7,7,PTA
1305,PW05010301026327,Anacharikkal-Meenmuttikkal road,0,3.7,3.7,PTA
1306,PW05010301026330,THRIPPARA - CHANDANAPPALLI ROAD,0,2.05,2.05,PTA
1307,PW05010301026329,KURISHINMOODU VKOTTAYAM ROAD,0,2.7,2.7,PTA
1308,PW05010301026328,"Pothipadu-Mundakkal-Kumbalampoika road road",0,4.4,4.4,PTA
1309,PW05010305016312,"Chakrassalakadavu - kallumkal -Kadalimangalam road",0,8,8,PTA
1310,PW05010301026336,"APROACH ROAD TOTHAZHOORKADAVU BRIDGE",0,0.11,0.11,PTA
1311,PW05010305016316,Amichakary - Chathenkery - ANC road,0,2.7,2.7,PTA
1312,PW05010304016315,Trikodithanom-Kunnathanam Road,0,1.9,1.9,PTA
1313,PW05010301026334,"THANNITHODUMOOZHY -KARIMANTHODU ROAD",0,3.5,3.5,PTA
1314,PW05010301026333,"ATTACHAKKAL - KUMPLAMPOIKAROAD",0,13,13,PTA
1315,PW05010305016314,Pannai - Theveri Road,0,6.4,6.4,PTA
1316,PW05010304016316,Jacobs Road,0,9.4,9.4,PTA
1317,PW05010301026332,"THALACHIRA - POTHUPARA SCHOOLROAD",0,1,1,PTA
1318,PW05010301026335,"IRAPPUKUZHY - PRAMADOM TEMPLEROAD",0,4,4,PTA
1319,PW05010304026309,Alapra Reserve road,0,1.37,1.37,PTA
1320,PW05010304026303,"Kottangal - Alaprakad - Alapra linkroad",0,4.4,4.4,PTA
1321,PW05010304026305,Vrindavan - Mukkuzhy - Puthurmukku,0,3,3,PTA
1322,PW05010301026344,VATTAKULANJI - PULARI ROAD,0,2.57,2.57,PTA
1323,PW05010304026306,"Areekal - Valakuzhy- Kottiyambalamroad",0,8.1,8.1,PTA
1324,PW05010304026304,Vaipur Bus stand - Athiyal road,0,4,4,PTA
1325,PW05010301026337,Cherimmukk -P.M Road,0,2.6,2.6,PTA
1326,PW05010301026338,Manjakadampu-Mavanal Road,0,5.3,5.3,PTA
1327,PW05010302016310,Thonnalloor - Adikkattukulangara,0,2.6,2.6,PTA
